[10 10
 .........T
 XX...XX...
 X.........
 XXXXXXX...
 ....XG....
 XX..XGX...
 ....XXX...
 XX...XX.K.
 S.........
 XX...XX...]
DELAY: 51.0;PACMAN: 6,10;GHOSTS: [[5, 7], [10, 10]];KEYS: []
DELAY: 49.0;PACMAN: 5,10;GHOSTS: [[5, 7], [10, 10]];KEYS: []
DELAY: 50.0;PACMAN: 4,10;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 51.0;PACMAN: 4,9;GHOSTS: [[5, 7], [10, 10]];KEYS: []
DELAY: 2548.0;PACMAN: 4,8;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 119.0;PACMAN: 3,8;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 48.0;PACMAN: 2,8;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 45.0;PACMAN: 2,8;GHOSTS: [[5, 7], [10, 10]];KEYS: []
DELAY: 743.0;PACMAN: 3,8;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 107.0;PACMAN: 3,7;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 58.0;PACMAN: 3,6;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 46.0;PACMAN: 3,5;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 50.0;PACMAN: 3,4;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 611.0;PACMAN: 3,3;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 95.0;PACMAN: 2,3;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 45.0;PACMAN: 1,3;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 9]];KEYS: []
DELAY: 997.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 87.0;PACMAN: 1,2;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 44.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
